#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,G)GD-156,SIG
#NUCLEUS    Gd-155
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 5.61145544e+00 39.410088 Lin-Lin
 5.63107443e+00 41.348270 Lin-Lin
 5.65083170e+00 43.482822 Lin-Lin
 5.67072725e+00 45.841167 Lin-Lin
 5.69062328e+00 48.436825 Lin-Lin
 5.71051884e+00 51.302418 Lin-Lin
 5.73055458e+00 54.500031 Lin-Lin
 5.75073099e+00 58.083450 Lin-Lin
 5.77090740e+00 62.088432 Lin-Lin
 5.78603983e+00 65.409584 Lin-Lin
 5.80117226e+00 69.040344 Lin-Lin
 5.81651783e+00 73.079239 Lin-Lin
 5.83186388e+00 77.525734 Lin-Lin
 5.84720945e+00 82.436829 Lin-Lin
 5.86255503e+00 87.880112 Lin-Lin
 5.87790108e+00 93.936134 Lin-Lin
 5.89040661e+00 99.390930 Lin-Lin
 5.90518761e+00 106.530212 Lin-Lin
 5.91627312e+00 112.445183 Lin-Lin
 5.92735910e+00 118.906906 Lin-Lin
 5.93844461e+00 125.985466 Lin-Lin
 5.94830227e+00 132.863892 Lin-Lin
 5.96062756e+00 142.343430 Lin-Lin
 5.96987104e+00 150.180130 Lin-Lin
 5.97911501e+00 158.724060 Lin-Lin
 5.98835897e+00 168.063782 Lin-Lin
 5.99666023e+00 177.213791 Lin-Lin
 6.00710011e+00 189.884094 Lin-Lin
 6.01492977e+00 200.349136 Lin-Lin
 6.02275991e+00 211.748932 Lin-Lin
 6.03059006e+00 224.198914 Lin-Lin
 6.03900003e+00 238.893799 Lin-Lin
 6.04769993e+00 255.739273 Lin-Lin
 6.05639982e+00 274.507690 Lin-Lin
 6.06510019e+00 295.501251 Lin-Lin
 6.07089996e+00 310.908722 Lin-Lin
 6.07670021e+00 327.588257 Lin-Lin
 6.08249998e+00 345.679901 Lin-Lin
 6.08830023e+00 365.341644 Lin-Lin
 6.09410000e+00 386.751770 Lin-Lin
 6.09989977e+00 410.110962 Lin-Lin
 6.10570002e+00 435.644867 Lin-Lin
 6.11149979e+00 463.606262 Lin-Lin
 6.11730003e+00 494.277039 Lin-Lin
 6.12309980e+00 527.969849 Lin-Lin
 6.12788486e+00 558.284424 Lin-Lin
 6.13354015e+00 597.351013 Lin-Lin
 6.13919497e+00 640.280212 Lin-Lin
 6.14484978e+00 687.466492 Lin-Lin
 6.15050507e+00 739.323364 Lin-Lin
 6.15615988e+00 796.276001 Lin-Lin
 6.16196012e+00 860.428589 Lin-Lin
