#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,TOT),SIG
#NUCLEUS    Gd-155
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.21199349e-01 1523.760498 Lin-Lin
 2.22203374e-01 1506.940308 Lin-Lin
 2.27484837e-01 1418.502319 Lin-Lin
 2.33376071e-01 1329.261475 Lin-Lin
 2.33948916e-01 1320.588135 Lin-Lin
 2.36361176e-01 1287.556030 Lin-Lin
 2.40596682e-01 1229.557373 Lin-Lin
 2.43077472e-01 1198.837891 Lin-Lin
 2.45098531e-01 1173.811401 Lin-Lin
 2.47433335e-01 1144.915161 Lin-Lin
 2.48233572e-01 1135.960205 Lin-Lin
 2.51735687e-01 1096.770020 Lin-Lin
 2.54464269e-01 1066.236206 Lin-Lin
 2.55287230e-01 1057.909790 Lin-Lin
 2.59225607e-01 1018.062866 Lin-Lin
 2.60715097e-01 1003.001709 Lin-Lin
 2.61694968e-01 993.093750 Lin-Lin
 2.68123448e-01 934.329468 Lin-Lin
 2.69131154e-01 925.117676 Lin-Lin
 2.74166942e-01 883.502258 Lin-Lin
 2.76778638e-01 861.933044 Lin-Lin
 2.84643412e-01 803.218323 Lin-Lin
 2.89969444e-01 767.275269 Lin-Lin
 2.92731702e-01 748.646729 Lin-Lin
 2.97821701e-01 717.618042 Lin-Lin
 3.01049799e-01 697.939575 Lin-Lin
 3.06284428e-01 669.094543 Lin-Lin
 3.06682795e-01 666.899353 Lin-Lin
 3.09604257e-01 650.812439 Lin-Lin
 3.12796593e-01 634.923157 Lin-Lin
 3.17209601e-01 612.958313 Lin-Lin
 3.18401784e-01 607.024414 Lin-Lin
 3.21684837e-01 592.253296 Lin-Lin
 3.24359477e-01 580.219604 Lin-Lin
 3.27449322e-01 566.328369 Lin-Lin
 3.28508347e-01 562.024719 Lin-Lin
 3.36753935e-01 528.515930 Lin-Lin
 3.37843060e-01 524.514954 Lin-Lin
 3.43055010e-01 505.368103 Lin-Lin
 3.46322954e-01 493.373077 Lin-Lin
 3.56163859e-01 460.722626 Lin-Lin
 3.65387559e-01 433.063293 Lin-Lin
 3.66284430e-01 430.376343 Lin-Lin
 3.76692563e-01 402.192688 Lin-Lin
 3.77910823e-01 399.209930 Lin-Lin
 3.85945916e-01 379.537292 Lin-Lin
 3.87396455e-01 375.985840 Lin-Lin
 3.89154822e-01 372.092896 Lin-Lin
 3.91390920e-01 367.147644 Lin-Lin
 3.96912724e-01 354.935760 Lin-Lin
 3.98404479e-01 351.636627 Lin-Lin
 4.02512461e-01 343.422791 Lin-Lin
 4.08191174e-01 332.068237 Lin-Lin
 4.09725338e-01 329.000732 Lin-Lin
 4.14488435e-01 320.390137 Lin-Lin
 4.16849613e-01 316.126404 Lin-Lin
 4.21367854e-01 307.967529 Lin-Lin
 4.33341205e-01 288.420715 Lin-Lin
 4.41449553e-01 276.452820 Lin-Lin
 4.45654780e-01 270.253448 Lin-Lin
 4.58318263e-01 253.376389 Lin-Lin
 4.69576716e-01 239.813889 Lin-Lin
 4.71341580e-01 237.687866 Lin-Lin
 4.73480999e-01 235.359482 Lin-Lin
 4.84734952e-01 223.129303 Lin-Lin
 4.86302644e-01 221.589706 Lin-Lin
 4.93163496e-01 214.851822 Lin-Lin
 4.98508900e-01 209.602219 Lin-Lin
 5.00121176e-01 208.169464 Lin-Lin
 5.07176995e-01 201.899231 Lin-Lin
 5.07836640e-01 201.313019 Lin-Lin
 5.12674272e-01 197.020294 Lin-Lin
 5.14332294e-01 195.689514 Lin-Lin
 5.27242124e-01 185.327927 Lin-Lin
 5.28947294e-01 184.090836 Lin-Lin
 5.42223930e-01 174.458633 Lin-Lin
 5.44685066e-01 172.844742 Lin-Lin
 5.57631493e-01 164.369904 Lin-Lin
 5.73476851e-01 154.995728 Lin-Lin
 5.88328362e-01 147.062515 Lin-Lin
 5.89772403e-01 146.292542 Lin-Lin
 6.06531084e-01 138.227875 Lin-Lin
 6.08492672e-01 137.375397 Lin-Lin
 6.21430337e-01 131.752960 Lin-Lin
 6.23765886e-01 130.737961 Lin-Lin
 6.30197585e-01 128.215149 Lin-Lin
 6.35437310e-01 126.159874 Lin-Lin
 6.39088571e-01 124.730728 Lin-Lin
 6.41490519e-01 123.790565 Lin-Lin
 6.52644694e-01 119.853287 Lin-Lin
 6.59718752e-01 117.356255 Lin-Lin
 6.78464949e-01 111.394089 Lin-Lin
 6.91159844e-01 107.757828 Lin-Lin
 6.97743833e-01 105.876511 Lin-Lin
 7.17570484e-01 100.775536 Lin-Lin
 7.37960577e-01 96.058487 Lin-Lin
 7.51768768e-01 93.190453 Lin-Lin
 7.58930087e-01 91.707039 Lin-Lin
 7.66755462e-01 90.274231 Lin-Lin
 7.83019602e-01 87.296303 Lin-Lin
 7.86001086e-01 86.750412 Lin-Lin
 7.94066608e-01 85.466660 Lin-Lin
 8.05269480e-01 83.683556 Lin-Lin
 8.13997805e-01 82.294312 Lin-Lin
 8.22390974e-01 81.137627 Lin-Lin
 8.23460639e-01 80.990211 Lin-Lin
 8.43033075e-01 78.301872 Lin-Lin
 8.73061240e-01 74.751297 Lin-Lin
 9.04203296e-01 71.604202 Lin-Lin
 9.08307493e-01 71.253075 Lin-Lin
 9.36410308e-01 68.859001 Lin-Lin
 9.69812036e-01 66.483894 Lin-Lin
 9.72948551e-01 66.301384 Lin-Lin
 9.86675084e-01 65.502663 Lin-Lin
 1.00000000e+00 64.727310 Lin-Lin
 1.00435591e+00 64.473846 Lin-Lin
 1.00705409e+00 64.349136 Lin-Lin
 1.02126181e+00 63.692425 Lin-Lin
 1.02314866e+00 63.605209 Lin-Lin
 1.04018128e+00 62.821754 Lin-Lin
 1.07723165e+00 61.533726 Lin-Lin
 1.09536421e+00 61.099747 Lin-Lin
 1.11565650e+00 60.614075 Lin-Lin
 1.15539527e+00 60.079273 Lin-Lin
 1.17929673e+00 59.949085 Lin-Lin
 1.20822728e+00 60.036636 Lin-Lin
 1.22098184e+00 60.075233 Lin-Lin
 1.22136223e+00 60.076385 Lin-Lin
 1.22956455e+00 60.181717 Lin-Lin
 1.23603177e+00 60.264771 Lin-Lin
 1.24255955e+00 60.348598 Lin-Lin
 1.24908733e+00 60.432426 Lin-Lin
 1.25346994e+00 60.488708 Lin-Lin
 1.25606775e+00 60.522068 Lin-Lin
 1.25788319e+00 60.562717 Lin-Lin
 1.26229644e+00 60.661541 Lin-Lin
 1.26891637e+00 60.809769 Lin-Lin
 1.27562964e+00 60.960091 Lin-Lin
 1.28234303e+00 61.110413 Lin-Lin
 1.29135716e+00 61.312256 Lin-Lin
 1.29175949e+00 61.321262 Lin-Lin
 1.30957592e+00 61.903442 Lin-Lin
 1.32846546e+00 62.520683 Lin-Lin
 1.33518159e+00 62.817715 Lin-Lin
 1.36621439e+00 64.183563 Lin-Lin
 1.39519405e+00 65.797600 Lin-Lin
 1.42485845e+00 67.791222 Lin-Lin
 1.43206191e+00 68.371452 Lin-Lin
 1.45508218e+00 70.219460 Lin-Lin
 1.48601985e+00 73.192024 Lin-Lin
 1.50406802e+00 75.207047 Lin-Lin
 1.50698495e+00 75.531845 Lin-Lin
 1.52824581e+00 78.210846 Lin-Lin
 1.54387856e+00 80.446945 Lin-Lin
 1.54980659e+00 81.294884 Lin-Lin
 1.55764174e+00 82.572594 Lin-Lin
 1.56021452e+00 82.991264 Lin-Lin
 1.57118201e+00 84.776016 Lin-Lin
 1.57167149e+00 84.855675 Lin-Lin
 1.58222640e+00 86.825478 Lin-Lin
 1.59334862e+00 88.901184 Lin-Lin
 1.59384501e+00 88.993828 Lin-Lin
 1.60454869e+00 91.257149 Lin-Lin
 1.61067033e+00 92.551582 Lin-Lin
 1.61320281e+00 93.150711 Lin-Lin
 1.62150693e+00 95.111908 Lin-Lin
 1.62765312e+00 96.563461 Lin-Lin
 1.64487565e+00 101.139366 Lin-Lin
 1.65904260e+00 105.400986 Lin-Lin
 1.66226006e+00 106.367500 Lin-Lin
 1.67980766e+00 112.381058 Lin-Lin
 1.69423378e+00 118.069054 Lin-Lin
 1.69751942e+00 119.363113 Lin-Lin
 1.70949388e+00 124.699539 Lin-Lin
 1.72146833e+00 130.624756 Lin-Lin
 1.73025632e+00 135.478287 Lin-Lin
 1.73361182e+00 137.330170 Lin-Lin
 1.74575520e+00 144.854340 Lin-Lin
 1.75466704e+00 151.093933 Lin-Lin
 1.75806987e+00 153.475266 Lin-Lin
 1.76730597e+00 160.707504 Lin-Lin
